PDF_URL,Local_File_Path
https://sdgs.un.org/sites/default/files/2020-10/Espan%CC%83ol_Informe%20de%20Localizacio%CC%81n%20de%20los%20Objetivos%20de%20Desarrollo%20Sostenible%20en%20la%20Ciudad%20de%20Sa%CC%83o%20Paulo.pdf,precompute-data/download_vlr_pdfs/downloads/2bf8fdc3/Espan%CC%83ol_Informe%20de%20Localizacio%CC%81n%20de%20los%20Objetivos%20de%20Desarrollo%20Sostenible%20en%20la%20Ciudad%20de%20Sa%CC%83o%20Paulo.pdf
https://sdgs.un.org/sites/default/files/2020-10/Lebenswertes%20Stuttgart_Die%20globale%20Agenda%202030%20auf%20lokaler%20Ebene.pdf,precompute-data/download_vlr_pdfs/downloads/c1e5ea04/Lebenswertes%20Stuttgart_Die%20globale%20Agenda%202030%20auf%20lokaler%20Ebene.pdf
https://sdgs.un.org/sites/default/files/2020-10/Portugue%CC%82s_Relato%CC%81rio%20de%20Localizac%CC%A7a%CC%83o%20dos%20Objetivos%20de%20Desenvolvimento%20Sustenta%CC%81vel%20na%20Cidade%20de%20Sa%CC%83o%20Paulo.pdf,precompute-data/download_vlr_pdfs/downloads/5b065a6d/Portugue%CC%82s_Relato%CC%81rio%20de%20Localizac%CC%A7a%CC%83o%20dos%20Objetivos%20de%20Desenvolvimento%20Sustenta%CC%81vel%20na%20Cidade%20de%20Sa%CC%83o%20Paulo.pdf
https://sdgs.un.org/sites/default/files/2020-10/SPW%20-%20Rapport%20indicateurs%20ODD-def_0.pdf,precompute-data/download_vlr_pdfs/downloads/037e0e79/SPW%20-%20Rapport%20indicateurs%20ODD-def_0.pdf
https://sdgs.un.org/sites/default/files/2020-10/Turku%20Voluntary%20Local%20Review%202020%20WEB%20EN.pdf,precompute-data/download_vlr_pdfs/downloads/cab9ac39/Turku%20Voluntary%20Local%20Review%202020%20WEB%20EN.pdf
https://sdgs.un.org/sites/default/files/2020-10/VLR%20BA%202020_eng.pdf,precompute-data/download_vlr_pdfs/downloads/c265c9c2/VLR%20BA%202020_eng.pdf
https://sdgs.un.org/sites/default/files/2020-10/VLR_State%20of%20Para%CC%81_Brazil_English.pdf,precompute-data/download_vlr_pdfs/downloads/8fef9eb4/VLR_State%20of%20Para%CC%81_Brazil_English.pdf
https://sdgs.un.org/sites/default/files/2020-10/Voluntary-Local-Review-Bericht-englisch.pdf,precompute-data/download_vlr_pdfs/downloads/899b6ddc/Voluntary-Local-Review-Bericht-englisch.pdf
https://sdgs.un.org/sites/default/files/2020-10/basque2017.pdf,precompute-data/download_vlr_pdfs/downloads/392c8574/basque2017.pdf
https://sdgs.un.org/sites/default/files/2020-10/basque2018.pdf,precompute-data/download_vlr_pdfs/downloads/03a870dc/basque2018.pdf
